"","","","","","Measure1 Total "
"7A2NB ","Wales ","Hywel Dda University Health Board ","Hywel Dda Activity not at a hospital site ","",10
"7A3B7 ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Princess Of Wales Hospital ",397.833332
"7A3B9 ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Maesteg General Hospital ",19.891667
"7A3C4 ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Singleton Hospital ",345.833334
"7A3C5 ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Fairwood Hospital ","."
"7A3C6 ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Hill House Hospital ","."
"7A3C7 ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Morriston Hospital ",725.149999
"7A3CJ ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Neath Port Talbot Hospital ",191.558332
"7A3DH ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Croeso Centre (Maesgwyn Hospital) ","."
"7A3DQ ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Gellinudd Hospital ","."
"7A3DR ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Cymla Hospital ","."
"7A3EM ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Gorseinon Hospital ",36.166666
"7A3FA ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Glanrhyd Hospital ",33.091667
"7A3FD ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Cefn Yr Afon ",18
"7A3FG ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Taith Newydd (Mental Illness) ",28
"7A3FJ ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Cefn Coed Hospital ",119
"7A3FK ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Ty Garn Goch (Day Hospital) ","."
"7A3FL ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Tonna Hospital ",44.333333
"7A3FV ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Caswell Clinic , South Wales Forensic&psychiatric ",61.025
"7A3G8 ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Hafod y Wennol (Hensol Hospital) ",8
"7A3GD ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Llwyneryr Hospital ",13
"7A3GK ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Dan y Bont (Learning Disabilites) ",5
"7A3GL ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Meadow Court (Learning Disabilities) ",5
"7A3GM ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Swn y Nant (Learning Disabilities) ",5
"7A3GQ ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Brynafon Learning Disabilities Unit ",4.583333
"7A3GT ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Ely Houses ",24.333333
"7A3GX ","Wales ","Abertawe Bro Morgannwg University Health Board ","Abertawe Bro Morgannwg University Health Board ","Ty Garth Newydd (Learning Disabilites) ",5
"7A3LA ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Coity Clinic ",60.308333
"7A4BV ","Wales ","Cardiff and Vale University Health Board ","University Hospital Of Wales ","",941.3275
"7A4BW ","Wales ","Cardiff and Vale University Health Board ","Cardiff Royal Infirmary (West Wing) ","","."
"7A4BX ","Wales ","Cardiff and Vale University Health Board ","Rookwood Hospital ","",47.994167
"7A4C1 ","Wales ","Cardiff and Vale University Health Board ","University Hospital Llandough ","",399.11167
"7A4CH ","Wales ","Cardiff and Vale University Health Board ","The Barry Hospital ","",22.9975
"7A4FE ","Wales ","Cardiff and Vale University Health Board ","St Davids Community Hospital ","",53.5975
"7A4FF ","Wales ","Cardiff and Vale University Health Board ","Whitchurch Hospital ","",13.944167
"7A4FJ ","Wales ","Cardiff and Vale University Health Board ","Monmouth House ","","."
"7A4FR ","Wales ","Cardiff and Vale University Health Board ","Mental Health at Llandough Hospital ","",244.001667
"7A4FS ","Wales ","Cardiff and Vale University Health Board ","Mental Health at Barry Hospital ","",16
"7A4FV ","Wales ","Cardiff and Vale University Health Board ","Pen -yr-Ynys ","","."
"7A4FW ","Wales ","Cardiff and Vale University Health Board ","Wordsworth Mental Health Rehabilitation Unit ","",8
"7A4FY ","Wales ","Cardiff and Vale University Health Board ","Iorwerth Jones Centre ","","."
"7A55C ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Hafod Newydd (Harvey Jones Unit) ","."
"7A55E ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Ty Llidiard ",16
"7A5B1 ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","The Royal Glamorgan Hospital ",459.196667
"7A5B3 ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Prince Charles Hospital ",388.083334
"7A5B4 ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Aberdare General Hospital ","."
"7A5B6 ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Mountain Ash General Hospital ","."
"7A5BA ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Llwynypia Hospital ","."
"7A5BK ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Pontypridd & District Hospital ",5.919167
"7A5CA ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Ysbyty Cwm Rhondda ",111.004167
"7A5DK ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Dewi Sant Hospital ","."
"7A5DV ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Ysbyty George Thomas ",14.669167
"7A5EC ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","St Tydfils Hospital ","."
"7A5F1 ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Pinewood House ",15.8975
"7A5FH ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Mental Health Services at Royal Glamorgan ",74.858333
"7A5HA ","Wales ","Cwm Taf University Health Board ","Cwm Taf University Health Board ","Ysbyty Cwm Cynon ",125.058334
"7A6AM ","Wales ","Aneurin Bevan University Health Board ","Nevill Hall Hospital ","",381.624166
"7A6AR ","Wales ","Aneurin Bevan University Health Board ","Royal Gwent Hospital ","",724.065831
"7A6AS ","Wales ","Aneurin Bevan University Health Board ","County Hospital ","",89.5525
"7A6AT ","Wales ","Aneurin Bevan University Health Board ","St Woolos Community ","",87.936666
"7A6AU ","Wales ","","","","."
"7A6AV ","Wales ","Aneurin Bevan University Health Board ","Ysbyty Ystrad Fawr ","",199.684166
"7A6BE ","Wales ","","","","."
"7A6BF ","Wales ","Aneurin Bevan University Health Board ","Caerphilly District Miners Hospital ","","."
"7A6BG ","Wales ","Aneurin Bevan University Health Board ","Aberbargoed & District Hospital ","","."
"7A6BH ","Wales ","Aneurin Bevan University Health Board ","Redwood Memorial Hospital ","","."
"7A6BJ ","Wales ","Aneurin Bevan University Health Board ","Chepstow Community Hospital ","",32.679167
"7A6E3 ","Wales ","Aneurin Bevan University Health Board ","Blaina And District Hospital ","","."
"7A6E8 ","Wales ","Aneurin Bevan University Health Board ","Blaenavon Health Care Unit ","","."
"7A6EE ","Wales ","Aneurin Bevan University Health Board ","Ystrad Mynach Hospital ","","."
"7A6ES ","Wales ","Aneurin Bevan University Health Board ","Tredegar General Hospital ","","."
"7A6F7 ","Wales ","Aneurin Bevan University Health Board ","St Cadoc's Hospital ","",52.008333
"7A6FN ","Wales ","Aneurin Bevan University Health Board ","Maindiff Court Hospital ","",15
"7A6FP ","Wales ","Aneurin Bevan University Health Board ","Ty-sirhowy Mental Illness Unit ","","."
"7A6FQ ","Wales ","Aneurin Bevan University Health Board ","Dan-y-bryn Mental Health ","","."
"7A6FR ","Wales ","Aneurin Bevan University Health Board ","Ysbyty Tri Chwm ","",14.833333
"7A6G2 ","Wales ","Aneurin Bevan University Health Board ","Bridge View House LD House ","",1.975833
"7A6G3 ","Wales ","Aneurin Bevan University Health Board ","Homelands L.D House ","",2.075
"7A6G4 ","Wales ","Aneurin Bevan University Health Board ","Twyn Glas (L.D.) ","",3.626667
"7A6G5 ","Wales ","Aneurin Bevan University Health Board ","Llanfrechfa Grange Hospital ","",5.533333
"7A6G6 ","Wales ","Aneurin Bevan University Health Board ","Lamb House (L.D.) ","",5
"7A6GV ","Wales ","Aneurin Bevan University Health Board ","Mitchell Close ","",2.870833
"7A6ML ","Wales ","Aneurin Bevan University Health Board ","St Woolos other ","",31.086667
"7A6NE ","Wales ","Aneurin Bevan University Health Board ","Gwent activity not at a Hospital site ","","."
"7A6RL ","Wales ","Aneurin Bevan University Health Board ","Gwent activity outside the Trust ","",0.15
"7A6TG ","Wales ","Aneurin Bevan University Health Board ","Rhymney Integrated Health and Social Care Centre ","",10.990833
"7A7BN ","Wales ","Powys Teaching Health Board (1)","Llandrindod Wells Hospital ","",33
"7A7BP ","Wales ","Powys Teaching Health Board (1)","Llanidloes And District War Memorial Hospital ","",10.083333
"7A7BQ ","Wales ","Powys Teaching Health Board (1)","Bro Ddyfi Community Hospital ","",14
"7A7BR ","Wales ","Powys Teaching Health Board (1)","Montgomeryshire County Infirmary ","",16.083333
"7A7BS ","Wales ","Powys Teaching Health Board (1)","Victoria Memorial Hospital ","",22.833333
"7A7BT ","Wales ","Powys Teaching Health Board (1)","Breconshire War Memorial Hospital ","",42.75
"7A7BU ","Wales ","Powys Teaching Health Board (1)","Builth Wells Cottage Hospital ","","."
"7A7EG ","Wales ","Powys Teaching Health Board (1)","Knighton Hospital ","",12.25
"7A7EH ","Wales ","Powys Teaching Health Board (1)","Bronllys Hospital ","",35.166667
"7A7EJ ","Wales ","Powys Teaching Health Board (1)","Ystradgynlais Community Hospital ","",27.916667
"RQF ","Wales ","Velindre NHS Trust ","","",40
"RQFH5 ","Wales ","Velindre NHS Trust ","Velindre Cancer Centre (Velindre Hospital) ","",40
"RT7DU ","Wales ","Betsi Cadwaladr University Health Board (1)","Bronygarth Hospital ","","."
"RVFDB ","Wales ","Aneurin Bevan University Health Board ","Oakdale Hospital ","","."
"W11000023 ","Wales ","Betsi Cadwaladr University Health Board (1)","","",2220.710833
"W11000024 ","Wales ","Powys Teaching Health Board (1)","","",214.083333
"W11000025 ","Wales ","Hywel Dda University Health Board ","","",1208.010834
"W11000026 ","Wales ","Abertawe Bro Morgannwg University Health Board ","","",2150.108331
"W11000027 ","Wales ","Cwm Taf University Health Board ","","",1210.686668
"W11000028 ","Wales ","Aneurin Bevan University Health Board ","","",1773.142496
"W11000029 ","Wales ","Cardiff and Vale University Health Board ","","",1746.97417
"W92000004 ","Wales ","","","",10563.716665


